ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,INDIRIZZO,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale,geo_x,geo_y
10672,PV,18110,PAVIA,G. S. S.P.A.,Via Vigentina,,3200,7900,11100,45.2047389799,9.1737129107
2530,BS,17062,CORTE FRANCA,CENTRO FRANCIACORTA ISEO SPA,"Via Roma, 78",,980,8411,9391,45.6424400979,10.0128748934
7569,CO,13138,LURATE CACCIVIO,TAGLIABUE FRATELLI E FIGLI DI TAGLIABUE ENRICO & C.,"Via 25 Aprile, 38",C,0,3000,3000,45.7702533685,8.9893777622
129,CR,19036,CREMONA,EUROCOMMERCIAL PROPERTIES ITALIA,Via Castelleone,,6200,12630,18830,45.1501463546,9.9980317418
1934,BG,16182,ROGNO,ARREDAMENTI SRL,"Via M. Grappa, 1",C,0,2596,2596,45.8625974114,10.1468299843
6397,LC,97010,BRIVIO,ALBANI MOBILI SAS DI ALBANI,Via Como 84,C,0,1657,1657,45.7351817542,9.4202501703
10222,BS,17078,GHEDI,IMMOBILIARE IL PONTE SPA,Localit?� San Firmo,,2800,8051,10851,45.3971798252,10.267861661
10419,MI,15118,LEGNANO,ESSELUNGA SPA,Galleria Cantoni 2/4,,2238,2015,4253,45.5988112676,8.9177729482
13753,MI,15009,ARESE,TEA S.P.A.,Via Ponchielli N. 7 - 20019 Milano,,5800,49200,55000,45.5645288138,9.0547578696
9889,MI,15250,BARANZATE,ESSELUNGA SPA,Via Milano,,2040,1360,3400,45.5307622897,9.1056853158
464,LC,97020,CERNUSCO LOMBARDONE,DE GENNIS PAOLO,Via Spluga 115,,2100,1530,3630,45.6888676549,9.4024214028
10606,MI,15167,PANTIGLIATE,LEROY MERLIN ITALIA SRL,Strada Vecchia Paullese 11,D,0,8150,8150,45.4282916713,9.3716554295
4525,MB,108039,SEREGNO,EGE FIGLI DI DELL'ORTO SRL,"Via G. Galilei, 45",C,0,3100,3100,45.6481880553,9.2146107396
27,MI,15144,MESERO,KIRSCHE S.P.A.,Via Piemonte N. 1,,350,1450,1800,45.4976749323,8.8586434671
672,BS,17161,REZZATO,ROSSETTO TRADE S.R.L.,"V. Mazzini, 97",,3400,3957,7357,45.5142302252,10.2972834238
218,LO,98029,GUARDAMIGLIO,PANCOTTI SPA,"Via Emilia, 23",D,0,1596,1596,45.1158903291,9.6865956291
1778,MI,15011,ASSAGO,GS SPA,Via Milanofiori,,5896,27910,33806,45.4035339763,9.1516462407
11971,BS,17043,CASTENEDOLO,IMMOBILTRADE SRL,Localit?� Fascia D?�Oro,,0,14900,14900,45.4582887545,10.323760997
957,MN,20066,VIADANA,SMA SPA,"Via Moro, 1",,1482,2018,3500,44.9379001634,10.4896044164
10196,MI,15146,MILANO,ARNAUDO LUIGI,"Via Don L. Palazzolo, 20",,4000,1403,5403,45.4884329382,9.146383285
13315,LC,97026,COSTA MASNAGA,DOSS SPA,Via Paradiso,,0,7000,7000,45.7589153959,9.2803613611
12153,BS,17201,VILLANUOVA SUL CLISI,ITALMARK S.P.A.,"Via Zanardelli, 79",,3000,240,3240,45.6042454179,10.4596555067
949,BG,16219,TREVIGLIO,SOCRATE RETAIL S.R.L.,"Via Montegrappa, 31",,2991,4590,7581,45.5204157965,9.5819207125
14236,MB,108051,BUSNAGO,BEST BUY SRL,Via Italia 201/203,D,0,2000,2000,45.6195623107,9.4781246436
11882,MI,15249,VANZAGHELLO,BENNET,Corso Italia  27,,3500,4500,8000,45.5993088873,8.7967744181
8734,BG,16089,CURNO,EUROCOMMERCIAL PROPERTIES ITALIA SRL,"Via E. Fermi, 1",,5313,18657,23970,45.6828456532,9.6106809617
5873,CO,13227,TURATE,D'AMBROS S.R.L.,"Via Perla Massina,45",,3500,412,3912,45.646522484,8.980707704
9979,MN,20015,CASTEL GOFFREDO,IMMOBILIARE IL PONTE SPA,Via Donizetti/Via Castiglione,,3200,7800,11000,45.3020562956,10.4724405843
622,BS,17029,BRESCIA,ESSELUNGA SPA,"Via Milano, 50",,1710,1140,2850,45.5446253996,10.1949206135
14314,BG,16089,CURNO,MEGASTORE DEL IDEA SRL,Via Bergamo 23/A,C,0,1962,1962,45.6907300116,9.624136648
10087,MI,15166,PADERNO DUGNANO,GRANCASA SPA,Via Amendola 45/47,,0,7171,7171,45.5745243459,9.1790164317
4507,VA,12122,SOLBIATE OLONA,IPER MONTEBELLO SPA,Via Per Busto Arsizio 11,,5000,6682,11682,45.6410219387,8.8630467497
6653,CO,13075,COMO,COIN S.P.A.,"Via Boldoni, 3",A,485,2415,2900,45.8114736795,9.0821498496
9479,BS,17029,BRESCIA,SMA,"Via Valcamonica, 17",,2300,6037,8337,45.5458980391,10.1702217067
7210,MI,15195,SAN GIULIANO MILANESE,IPEA SRL,Via Della Pace,,30,14719,14749,45.3779998209,9.3071564259
10223,BS,17113,MONTICHIARI,ISOLA VERDE S.P.A.,"S.P. Goitese, 236 - Via Levate",,50,14850,14900,45.4368945026,10.3535476068
3479,MI,15118,LEGNANO,GRAN CASA SPA,"Via Jucker, 1/3",C,18,9232,9250,45.6109071208,8.9313319408
9427,MB,108052,CAPONAGO,LEROY MERLIN ITALIA S.R.L,Via Galileo Galilei,D,0,5600,5600,45.5699212646,9.3680516415
8970,MI,15146,MILANO,BERALDO STEFANO,"V. Polesine, 39",,30,2607,2637,45.4398899098,9.2225953231
3833,BS,17166,ROVATO,GESTIONE CENTRI COMMERCIALI SPA,Via I Maggio 36,,4000,2500,6500,45.5590711788,10.0144231539
11973,MI,15195,SAN GIULIANO MILANESE,AEDIFICAT SYNERGY SRL,Via Emilia Ang. Via Tolstoj,,2390,12350,14740,45.3809174217,9.3022841585
9393,MN,20038,OSTIGLIA,MAXI DI SRL,Via Provinciale Per Mantova,,1499,1000,2499,45.0650155421,11.137224434
8895,CO,13154,MONTANO LUCINO,BENNET SPA,"Via Cav. Enzo Ratti, 2",,3074,7810,10884,45.7859249433,9.0474002264
9715,MB,108033,MONZA,LA RINASCENTE SPA,Via Lario 17,,4818,11496,16314,45.5954798989,9.2454815418
